date,daily_generation_kWh,daily_capacity_kW,generation_per_kW,scaled_generation_kWh,Tariff_GBP,Cost_per_kW_GBP,revenue_GBP,cumulative_revenue_GBP,ROI_percent
2017-08-21,26244.0,8268.0,3.174165457184325,3174.165457184325,0.050300000000000004,1480.0,159.66052249637156,191349.60414707518,10.630533563726399
2017-08-22,26734.0,8268.0,3.233430091920658,3233.430091920658,0.050300000000000004,1480.0,162.64153362360912,191512.24568069878,10.639569204483266
2017-08-23,31251.0,8268.083333333334,3.7797151697793723,3779.7151697793724,0.050300000000000004,1480.0,190.11967303990244,191702.36535373869,10.65013140854104
2017-08-24,38126.0,8270.0,4.610157194679565,4610.157194679565,0.050300000000000004,1480.0,231.89090689238213,191934.25626063105,10.663014236701725
2017-08-25,47834.0,8270.0,5.78403869407497,5784.0386940749695,0.050300000000000004,1480.0,290.937146311971,192225.19340694303,10.679177411496834
2017-08-26,36058.0,8270.0,4.360096735187424,4360.096735187424,0.050300000000000004,1480.0,219.31286577992745,192444.50627272297,10.69136145959572
2017-08-27,52865.0,8270.0,6.392382103990326,6392.382103990326,0.050300000000000004,1480.0,321.5368198307134,192766.04309255368,10.709224616252982
2017-08-28,51343.0,8270.0,6.208343409915357,6208.343409915357,0.050300000000000004,1480.0,312.2796735187425,193078.3227660724,10.726573487004023
2017-08-29,30153.0,8270.0,3.6460701330108827,3646.0701330108827,0.050300000000000004,1480.0,183.3973276904474,193261.72009376285,10.736762227431269
2017-08-30,24565.0,8270.0,2.97037484885127,2970.3748488512697,0.050300000000000004,1480.0,149.40985489721888,193411.12994866006,10.74506277492556
2017-08-31,44646.0,8270.0,5.3985489721886335,5398.548972188633,0.050300000000000004,1480.0,271.54701330108827,193682.67696196114,10.760148720108953
2017-09-01,48302.0,8270.208333333334,5.840481648487291,5840.481648487291,0.050300000000000004,1480.0,293.77622691891077,193976.45318888006,10.776469621604448
2017-09-02,24763.0,8275.0,2.992507552870091,2992.507552870091,0.050300000000000004,1480.0,150.5231299093656,194126.9763187894,10.784832017710523
2017-09-03,16943.0,8275.0,2.047492447129909,2047.4924471299091,0.050300000000000004,1480.0,102.98887009063444,194229.96518888004,10.790553621604447
2017-09-04,20063.0,8275.0,2.4245317220543807,2424.5317220543807,0.050300000000000004,1480.0,121.95394561933536,194351.9191344994,10.797328840805521
2017-09-05,19126.0,8275.0,2.311299093655589,2311.299093655589,0.050300000000000004,1480.0,116.25834441087613,194468.17747891028,10.803787637717239
2017-09-06,33300.0,8275.0,4.02416918429003,4024.16918429003,0.050300000000000004,1480.0,202.41570996978854,194670.59318888007,10.81503295493778
2017-09-07,23817.0,8275.0,2.8781873111782477,2878.1873111782475,0.050300000000000004,1480.0,144.77282175226586,194815.36601063234,10.823075889479576
2017-09-08,25283.0,8275.0,3.055347432024169,3055.347432024169,0.050300000000000004,1480.0,153.6839758308157,194969.04998646316,10.831613888136841
2017-09-09,35553.0,8275.0,4.296435045317221,4296.435045317221,0.050300000000000004,1480.0,216.11068277945623,195185.1606692426,10.843620037180145
2017-09-10,18323.0,8275.0,2.2142598187311178,2214.259818731118,0.050300000000000004,1480.0,111.37726888217523,195296.5379381248,10.849807663229155
2017-09-11,33504.0,8275.0,4.048821752265861,4048.8217522658615,0.050300000000000004,1480.0,203.65573413897286,195500.19367226376,10.86112187068132
2017-09-12,37789.0,8275.0,4.566646525679758,4566.646525679758,0.050300000000000004,1480.0,229.70232024169187,195729.89599250545,10.873883110694747
2017-09-13,40031.0,8275.0,4.837583081570997,4837.583081570997,0.050300000000000004,1480.0,243.33042900302115,195973.22642150847,10.887401467861583
2017-09-14,36746.0,8275.0,4.440604229607251,4440.604229607251,0.050300000000000004,1480.0,223.36239274924475,196196.58881425773,10.899810489680984
2017-09-15,31915.0,8275.0,3.856797583081571,3856.797583081571,0.050300000000000004,1480.0,193.99691842900302,196390.58573268674,10.910588096260375
2017-09-16,27891.0,8275.0,3.3705135951661633,3370.513595166163,0.050300000000000004,1480.0,169.53683383685802,196560.1225665236,10.920006809251312
2017-09-17,29951.0,8275.0,3.619456193353474,3619.456193353474,0.050300000000000004,1480.0,182.05864652567976,196742.1812130493,10.930121178502738
2017-09-18,28389.0,8275.0,3.4306948640483386,3430.694864048339,0.050300000000000004,1480.0,172.56395166163145,196914.74516471094,10.939708064706164
2017-09-19,39969.0,8275.0,4.830090634441087,4830.090634441088,0.050300000000000004,1480.0,242.95355891238674,197157.69872362333,10.953205484645741
2017-09-20,20975.0,8275.0,2.5347432024169185,2534.7432024169184,0.050300000000000004,1480.0,127.49758308157101,197285.1963067049,10.960288683705828
2017-09-21,18104.0,8275.0,2.1877945619335346,2187.7945619335346,0.050300000000000004,1480.0,110.0460664652568,197395.24237317016,10.966402354065009
2017-09-22,36856.0,8275.0,4.453897280966768,4453.8972809667675,0.050300000000000004,1480.0,224.03103323262843,197619.2734064028,10.978848522577934
2017-09-23,27559.0,8275.0,3.330392749244713,3330.3927492447133,0.050300000000000004,1480.0,167.5187552870091,197786.7921616898,10.988155120093879
2017-09-24,27865.0,8275.0,3.3673716012084594,3367.371601208459,0.050300000000000004,1480.0,169.3787915407855,197956.17095323058,10.997565052957254
2017-09-25,15522.0,8275.0,1.8757703927492446,1875.7703927492446,0.050300000000000004,1480.0,94.35125075528701,198050.52220398586,11.002806789110325
2017-09-26,25042.0,8275.0,3.026223564954683,3026.223564954683,0.050300000000000004,1480.0,152.21904531722055,198202.74124930307,11.01126340273906
2017-09-27,17471.0,8275.0,2.1112990936555893,2111.2990936555893,0.050300000000000004,1480.0,106.19834441087615,198308.93959371393,11.017163310761886
2017-09-28,34406.0,8275.0,4.157824773413897,4157.824773413897,0.050300000000000004,1480.0,209.13858610271902,198518.07817981666,11.028782121100926
2017-09-29,20805.0,8275.0,2.5141993957703925,2514.1993957703926,0.050300000000000004,1480.0,126.46422960725076,198644.5424094239,11.035807911634663
2017-09-30,21438.0,8275.041666666666,2.590681819326187,2590.681819326187,0.050300000000000004,1480.0,130.31129551210722,198774.85370493602,11.043047428052
2017-10-01,9391.0,8276.208333333334,1.1346983572388725,1134.6983572388724,0.050300000000000004,1480.0,57.075327369115286,198831.92903230514,11.046218279572507
2017-10-02,23301.0,8281.208333333334,2.813719817458201,2813.719817458201,0.050300000000000004,1480.0,141.53010681814752,198973.4591391233,11.054081063284627
2017-10-03,30756.0,8286.0,3.7118030412744387,3711.803041274439,0.050300000000000004,1480.0,186.7036929761043,199160.1628320994,11.064453490672188
2017-10-04,15811.0,8286.0,1.908158339367608,1908.158339367608,0.050300000000000004,1480.0,95.9803644701907,199256.14319656958,11.069785733142755
2017-10-05,36870.0,8286.0,4.44967414916727,4449.67414916727,0.050300000000000004,1480.0,223.8186097031137,199479.96180627268,11.082220100348481
2017-10-06,34391.0,8286.0,4.150494810523775,4150.494810523775,0.050300000000000004,1480.0,208.7698889693459,199688.73169524202,11.093818427513446
2017-10-07,11182.0,8286.0,1.3495051894762249,1349.5051894762248,0.050300000000000004,1480.0,67.88011103065412,199756.61180627267,11.097589544792926
2017-10-08,23911.0,8286.0,2.8857108375573257,2885.7108375573257,0.050300000000000004,1480.0,145.1512551291335,199901.7630614018,11.105653503411212
2017-10-09,15065.0,8286.0,1.818126961139271,1818.1269611392709,0.050300000000000004,1480.0,91.45178614530533,199993.21484754712,11.110734158197062
2017-10-10,15474.0,8286.0,1.8674873280231716,1867.4873280231716,0.050300000000000004,1480.0,93.93461259956554,200087.1494601467,11.115952747785927
2017-10-11,9667.0,8286.0,1.1666666666666667,1166.6666666666667,0.050300000000000004,1480.0,58.683333333333344,200145.83279348002,11.119212932971113
2017-10-12,28687.0,8286.0,3.462104755008448,3462.1047550084477,0.050300000000000004,1480.0,174.14386917692494,200319.97666265693,11.128887592369828
2017-10-13,11211.0,8286.0,1.3530050687907313,1353.0050687907315,0.050300000000000004,1480.0,68.0561549601738,200388.03281761712,11.132668489867617
2017-10-14,16531.0,8286.0,1.9950518947622495,1995.0518947622495,0.050300000000000004,1480.0,100.35111030654116,200488.38392792366,11.138243551551314
2017-10-15,19211.0,8286.0,2.318489017620082,2318.489017620082,0.050300000000000004,1480.0,116.61999758629014,200605.00392550995,11.144722440306108
2017-10-16,16649.0,8286.0,2.0092927830074827,2009.2927830074827,0.050300000000000004,1480.0,101.06742698527638,200706.07135249523,11.150337297360846
2017-10-17,18676.0,8286.5,2.253786278887347,2253.7862788873467,0.050300000000000004,1480.0,113.36544982803355,200819.43680232327,11.156635377906849
2017-10-18,6429.0,8298.0,0.774765003615329,774.765003615329,0.050300000000000004,1480.0,38.97067968185105,200858.40748200513,11.158800415666951
2017-10-19,4743.0,8298.0,0.571583514099783,571.583514099783,0.050300000000000004,1480.0,28.750650759219088,200887.15813276437,11.160397674042464
2017-10-20,16339.0,8298.0,1.9690286816100264,1969.0286816100265,0.050300000000000004,1480.0,99.04214268498434,200986.20027544934,11.165900015302741
2017-10-21,16280.0,8298.0,1.9619185345866474,1961.9185345866474,0.050300000000000004,1480.0,98.68450228970838,201084.88477773906,11.17138248765217
2017-10-22,17886.0,8298.0,2.1554591467823574,2155.4591467823575,0.050300000000000004,1480.0,108.41959508315259,201193.30437282223,11.177405798490124
2017-10-23,7696.0,8298.0,0.9274523981682333,927.4523981682333,0.050300000000000004,1480.0,46.65085562786214,201239.9552284501,11.179997512691672
2017-10-24,8150.0,8298.0,0.9821643769583032,982.1643769583031,0.050300000000000004,1480.0,49.40286816100265,201289.3580966111,11.182742116478394
2017-10-25,25743.0,8298.0,3.1023138105567605,3102.3138105567605,0.050300000000000004,1480.0,156.04638467100506,201445.4044812821,11.191411360071228
2017-10-26,7627.0,8298.0,0.9191371414798747,919.1371414798747,0.050300000000000004,1480.0,46.2325982164377,201491.63707949856,11.19397983774992
2017-10-27,31065.0,8298.0,3.7436731742588574,3743.673174258857,0.050300000000000004,1480.0,188.30676066522054,201679.9438401638,11.204441324453544
2017-10-28,14791.0,8298.0,1.7824777054711978,1782.4777054711979,0.050300000000000004,1480.0,89.65862858520126,201769.60246874898,11.209422359374944
2017-10-29,19614.0,8298.0,2.363702096890817,2363.7020968908173,0.050300000000000004,1480.0,118.89421547360813,201888.4966842226,11.216027593567922
2017-10-30,24498.0,8298.0,2.9522776572668112,2952.2776572668113,0.050300000000000004,1480.0,148.49956616052063,202036.99625038312,11.224277569465729
2017-10-31,10863.0,8298.0,1.3091106290672452,1309.110629067245,0.050300000000000004,1480.0,65.84826464208244,202102.8445150252,11.22793580639029
2017-11-01,15098.0,8298.0,1.819474572186069,1819.474572186069,0.050300000000000004,1480.0,91.51957098095929,202194.36408600616,11.233020227000342
2017-11-02,15169.0,8298.0,1.8280308508074234,1828.0308508074233,0.050300000000000004,1480.0,91.9499517956134,202286.31403780176,11.238128557655653
2017-11-03,11647.0,8302.0,1.402914960250542,1402.914960250542,0.050300000000000004,1480.0,70.56662250060226,202356.88066030235,11.242048925572352
2017-11-04,11295.0,8302.0,1.360515538424476,1360.515538424476,0.050300000000000004,1480.0,68.43393158275116,202425.3145918851,11.245850810660283
2017-11-05,23219.0,8302.0,2.796795952782462,2796.7959527824623,0.050300000000000004,1480.0,140.67883642495786,202565.99342831006,11.253666301572782
2017-11-06,23360.0,8302.0,2.8137798120934714,2813.7798120934713,0.050300000000000004,1480.0,141.53312454830163,202707.52655285835,11.261529252936576
2017-11-07,5072.0,8302.0,0.6109371235846784,610.9371235846785,0.050300000000000004,1480.0,30.73013731630933,202738.25669017466,11.26323648278748
2017-11-08,20743.0,8302.0,2.4985545651650205,2498.5545651650204,0.050300000000000004,1480.0,125.67729462780053,202863.93398480245,11.270218554711247
2017-11-09,9761.0,8302.0,1.175740785352927,1175.7407853529269,0.050300000000000004,1480.0,59.139761503252224,202923.07374630572,11.273504097016984
2017-11-10,18125.0,8302.0,2.1832088653336545,2183.2088653336546,0.050300000000000004,1480.0,109.81540592628284,203032.889152232,11.279604952901778
2017-11-11,8904.0,8302.0,1.0725126475548061,1072.512647554806,0.050300000000000004,1480.0,53.94738617200675,203086.83653840402,11.282602029911335
2017-11-12,19682.0,8302.0,2.3707540351722476,2370.7540351722478,0.050300000000000004,1480.0,119.24892796916407,203206.0854663732,11.289226970354067
2017-11-13,13400.0,8302.0,1.6140688990604675,1614.0688990604674,0.050300000000000004,1480.0,81.18766562274152,203287.27313199593,11.293737396221996
2017-11-14,6358.0,8302.0,0.7658395567333173,765.8395567333173,0.050300000000000004,1480.0,38.521729703685864,203325.7948616996,11.295877492316645
2017-11-15,1008.0,8302.0,0.12141652613827993,121.41652613827992,0.050300000000000004,1480.0,6.10725126475548,203331.90211296437,11.296216784053575
2017-11-16,11475.0,8302.0,1.382197060949169,1382.1970609491689,0.050300000000000004,1480.0,69.5245121657432,203401.42662513012,11.300079256951673
2017-11-17,18363.0,8302.0,2.2118766562274152,2211.8766562274154,0.050300000000000004,1480.0,111.25739580823901,203512.68402093835,11.306260223385465
2017-11-18,6575.0,8302.0,0.7919778366658636,791.9778366658636,0.050300000000000004,1480.0,39.83648518429294,203552.52050612264,11.30847336145126
2017-11-19,15882.0,8302.0,1.9130330040953987,1913.0330040953986,0.050300000000000004,1480.0,96.22556010599855,203648.74606622863,11.313819225901591
2017-11-20,3962.0,8302.0,0.4772344013490725,477.2344013490725,0.050300000000000004,1480.0,24.00489038785835,203672.75095661648,11.315152830923138
2017-11-21,3912.0,8302.0,0.4712117562033245,471.2117562033245,0.050300000000000004,1480.0,23.701951337027225,203696.4529079535,11.316469605997415
2017-11-22,5366.0,8302.0,0.6463502770416767,646.3502770416767,0.050300000000000004,1480.0,32.51141893519634,203728.9643268887,11.318275795938261
2017-11-23,17225.0,8302.0,2.0748012527101904,2074.8012527101905,0.050300000000000004,1480.0,104.36250301132259,203833.32682990003,11.324073712772224
2017-11-24,16483.0,8302.0,1.9854251987472897,1985.4251987472896,0.050300000000000004,1480.0,99.86688749698868,203933.19371739702,11.329621873188724
2017-11-25,16632.0,8302.0,2.003372681281619,2003.3726812816187,0.050300000000000004,1480.0,100.76964586846543,204033.96336326547,11.335220186848082
2017-11-26,13467.0,8302.0,1.6221392435557698,1622.1392435557698,0.050300000000000004,1480.0,81.59360395085523,204115.55696721634,11.339753164845352
2017-11-27,5977.0,8302.0,0.7199470007227174,719.9470007227175,0.050300000000000004,1480.0,36.21333413635269,204151.7703013527,11.341765016741816
2017-11-28,16729.0,8302.0,2.01505661286437,2015.05661286437,0.050300000000000004,1480.0,101.35734762707781,204253.12764897977,11.347395980498877
2017-11-29,13415.0,8302.0,1.6158756926041917,1615.8756926041917,0.050300000000000004,1480.0,81.27854733799086,204334.40619631775,11.351911455350987
2017-11-30,15784.0,8302.0,1.9012286196097326,1901.2286196097325,0.050300000000000004,1480.0,95.63179956636955,204430.0379958841,11.357224333104671
2017-12-01,16988.0,8302.0,2.046253914719345,2046.2539147193447,0.050300000000000004,1480.0,102.92657191038305,204532.9645677945,11.362942475988582
2017-12-02,5758.0,8302.0,0.6935678149843412,693.5678149843411,0.050300000000000004,1480.0,34.88646109371236,204567.8510288882,11.36488061271601
2017-12-03,5725.0,8302.0,0.6895928691881474,689.5928691881475,0.050300000000000004,1480.0,34.68652132016382,204602.53755020836,11.366807641678243
2017-12-04,8535.0,8302.0,1.0280655263791858,1028.0655263791857,0.050300000000000004,1480.0,51.711695976873045,204654.24924618524,11.369680513676958
2017-12-05,3251.0,8302.0,0.3915923873765358,391.5923873765358,0.050300000000000004,1480.0,19.69709708503975,204673.94634327028,11.370774796848348
2017-12-06,3681.0,8302.0,0.4433871356299687,443.38713562996867,0.050300000000000004,1480.0,22.302372922187427,204696.24871619247,11.372013817566248
2017-12-07,7399.0,8302.0,0.8912310286677909,891.231028667791,0.050300000000000004,1480.0,44.82892074198989,204741.07763693447,11.374504313163026
